roi,bp0.2-0.5_pre,bp0.5-1.0_pre,bp1.0-2.0_pre,bp2.0-5.0_pre,domfreq_pre,bp0.2-0.5_stim,bp0.5-1.0_stim,bp1.0-2.0_stim,bp2.0-5.0_stim,domfreq_stim,bp0.2-0.5_post,bp0.5-1.0_post,bp1.0-2.0_post,bp2.0-5.0_post,domfreq_post
1,0.7215196902102754,0.18238511175152253,0.07173655639035705,0.0243586416478451,0.24999999999999645,0.35268107154545797,0.4838020410317334,0.14124488832625132,0.02227199909655735,0.3999999999999943,0.17068506887384846,0.21960390097949575,0.2568301211297762,0.35288090901687974,0.5142857142857069
2,0.5966516237614381,0.24685819008434484,0.08329233900688407,0.07319784714733311,0.24999999999999645,0.10471968806480998,0.6874548170737181,0.19439998924868768,0.013425505612784194,0.5999999999999914,0.28463164018824827,0.13094020395077044,0.15662428856913962,0.4278038672918418,0.25714285714285345
3,0.8558887857137777,0.04478136686843328,0.06034512684039179,0.03898472057739719,0.24999999999999645,0.43068292528547,0.39146188700305745,0.11023738180573191,0.0676178059057406,0.3999999999999943,0.4762817814171649,0.361008133138416,0.06430116788085154,0.09840891756356744,0.342857142857138
4,0.560147299301601,0.18923732420504996,0.04163161391530594,0.20898376257804321,0.24999999999999645,0.3520336254425159,0.4644649243707987,0.15079274724320016,0.03270870294348501,0.3999999999999943,0.3617488490238647,0.1785618141904226,0.21850423307217653,0.2411851037135361,0.28571428571428165
5,0.7957490590843976,0.08210267632051868,0.06025104178591311,0.06189722280917077,0.24999999999999645,0.28571778283463456,0.3715215308185662,0.28111558195802205,0.06164510438877712,0.3999999999999943,0.28630843108433857,0.1632493902338399,0.2866254146096704,0.26381676407215116,0.3714285714285661
6,0.690089262161749,0.23518211586519305,0.046991341555025296,0.02773728041803242,0.24999999999999645,0.30790991456672845,0.4920943847630993,0.179860103002999,0.020135597667173148,0.3999999999999943,0.5390940007160194,0.2877700561414754,0.1251827721081106,0.04795317103439465,0.31428571428570984
7,0.7727592025904371,0.14457246734513252,0.04315108533783764,0.03951724472659288,0.24999999999999645,0.3679083750424482,0.4914132858517417,0.12827942780033824,0.012398911305471584,0.3999999999999943,0.39460415802280097,0.2763926715418148,0.249233372383771,0.07976979805161329,0.9142857142857013
8,0.5268188557970026,0.2515848864852198,0.17646425341436,0.04513200430341743,0.24999999999999645,0.0911330819847555,0.698953324534371,0.17347054575939916,0.036443047721474386,0.5999999999999914,0.6354537967789986,0.27871658200518995,0.0689000557701896,0.016929565445621936,0.31428571428570984
9,0.30698570456454655,0.45364352455099644,0.1487775152846119,0.090593255599845,0.8749999999999876,0.12441039153264737,0.7000296212844331,0.11410052490684178,0.06145946227607791,0.5999999999999914,0.6499446247123353,0.13787725481862873,0.15433351358624034,0.057844606882795656,0.31428571428570984
10,0.6153621944641041,0.13063815898493208,0.15666684467287187,0.09733280187809204,0.24999999999999645,0.4893608209822411,0.43345326454313154,0.034301476836112656,0.042884437638514836,0.3999999999999943,0.3485283462682561,0.33031698365248957,0.11578947840564938,0.20536519167360484,0.342857142857138
