roi,rate_mean_pre,rate_peak_pre,rate_active_frac_pre,rate_mean_stim,rate_peak_stim,rate_active_frac_stim,rate_mean_post,rate_peak_post,rate_active_frac_post,dff_mean_pre,dff_peak_pre,dff_mean_stim,dff_peak_stim,dff_mean_post,dff_peak_post,rate_group
1,0.38077177330063083,0.4746321326693844,0.325,0.9796491316230284,4.1787195005207245,0.84,0.2817788180609906,0.3272772682986596,0.0,-0.0071487413,0.0048393523,0.045052785,0.15414977,0.031318925,0.05441329,2
2,0.3782576162027129,0.5342657963687718,0.2375,2.2832095075840058,10.528399289234724,0.98,0.28079585421112163,0.5546298670911614,0.029411764705882353,-0.0054426305,0.019489499,0.1011026,0.3183981,0.04172465,0.12711374,3
3,0.373525233710644,0.4778137510114309,0.2625,0.38289427596589914,0.5202179364486196,0.34,0.3376594248830499,0.5040795023064565,0.17352941176470588,-0.0051950873,0.008762496,-0.0019506138,0.030264469,0.0093141645,0.047586713,1
4,0.34265423604621126,0.36331139293796766,0.0,0.3504519416150146,0.7715455296103477,0.2,0.335869010975632,0.4866385491712554,0.21470588235294116,0.0003592149,0.010746076,0.03333375,0.074259676,0.060645647,0.10483553,1
5,0.35577561124863083,0.44177226568014777,0.1625,0.4136097007695508,1.4498109603233909,0.34,0.3275948178580477,0.4561254374248653,0.12941176470588237,4.5890476e-05,0.021341316,0.019770961,0.059804868,0.06421573,0.10257018,1
6,0.3555106875800219,0.4289076061843549,0.075,0.5782479539563257,2.440439418034904,0.58,0.6644293712772975,1.5391382529214612,0.6647058823529411,-0.0013755182,0.015487243,0.050924387,0.108569145,0.10351885,0.17000425,1
7,0.4084616348643325,0.6786648928916045,0.45,0.889780513507887,3.186757452237653,1.0,0.6156956816754302,1.7247323960395493,0.6588235294117647,-0.007110095,0.033668563,0.061589986,0.14251323,0.10592213,0.17793037,2
8,0.40720632339944285,0.6219080007162017,0.5125,0.48119178779772576,0.8474268418698917,0.64,0.9524709695961862,2.0270653731020567,0.8058823529411765,-0.010512586,0.019853784,0.000964552,0.04772376,0.12691563,0.19363941,2
9,0.3783220150534551,0.5107625503664954,0.2125,0.4241001860525143,0.5630355632274784,0.54,0.4561059373956308,0.7764108424220507,0.5558823529411765,-0.0058834995,0.008322456,-0.004843025,0.030140873,0.08046415,0.13181229,1
10,0.35416558973135437,0.4389578041067071,0.0375,0.3417130929588476,0.42320253585303763,0.14,0.30967730920103564,0.4810334649600772,0.11764705882352941,-0.0018716343,0.010462233,0.0062529575,0.025998037,0.024524454,0.0641742,1
