time_s,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31
0.0,0.0013382003,0.00440433,0.0014889565,0.0022582598,0.0010451691,0.0012442995,0.002963373,0.0028917626,0.0029139505,-0.0008379478,-0.0044314517,0.0011466201,0.002604949,0.0018208473,-0.0020861034,0.0010109629,0.003548712,0.0038704665,0.00508855,0.005864278,0.0039513465,0.0026506253,-0.0005413553,-0.0040693646,0.0016151522,-0.0030550947,0.004181032,-0.0033333413,-0.0011570946,0.013455904,-0.00054836407
0.1,-0.0017721095,0.0031810892,0.0009871615,0.0016283167,0.00092283107,0.004051691,0.0014217863,0.00083702145,-0.00028128753,-0.0028935915,-0.0002758939,-0.002879708,0.0018536907,-0.0018922879,-0.0037088203,-0.0018281615,0.0015320173,-0.003660502,0.0008529327,-0.0025112182,-0.0033383255,-0.0012761106,0.0014376927,-0.008672311,-0.0032890267,-0.0042598955,0.004662751,0.001344807,-0.0011304391,0.0017008982,-0.000117114265
0.2,-0.0018444172,-0.001727643,-0.0017904909,0.0013673262,-0.0035012406,-0.0047096284,0.0004029386,-0.002983689,-0.0046828673,-0.0039051499,-0.008149579,-0.011589196,-0.0030670203,-0.00480628,-0.010309178,-0.0035386742,-0.0039143506,-0.00324642,-0.0023002296,-0.0058783144,-0.0040093283,-0.0010904503,-0.003955386,-0.0045709815,-0.002576752,-0.0037664475,-0.00229648,-0.0035155918,-0.001565263,-0.002509398,-0.0060921567
0.3,-0.0038034806,-0.0022155405,-0.0029827652,-0.0016023874,-0.0044403677,-0.0036681066,-0.000578612,-0.0018900702,-0.0042323032,-0.0022909988,-0.0061735376,-0.0052572386,2.632935e-05,-0.0059003616,-0.002456605,-0.0058151004,-0.0043609063,0.002611029,-0.0028547535,-0.0022898703,-0.0027841374,0.00017522198,-0.001297687,0.0012415419,-0.0013591938,-0.0058858707,0.00015854868,-0.005272856,0.0011422746,-0.00094467006,-0.005079499
0.4,-0.0032241913,-0.006359847,-0.0041215257,-0.0044141742,-0.0040532164,-0.004383803,-0.0044907373,-0.002831704,-0.0031994798,-0.005187657,-0.005735133,-0.008423177,0.00027087843,-0.0037619171,-0.0012830907,-0.0023597532,-0.0025531482,-0.006812237,-0.0061755194,-0.0022375027,-0.003479661,-0.00748357,-0.001415914,-0.0015786913,-0.004534288,-0.009250296,0.0028300518,-0.00565739,0.0005569862,-0.0029013047,-0.005630875
0.5,-0.0050691185,-0.0039123218,-0.0027104137,-0.0030934815,-0.0032429455,-0.0056011523,-0.0040843156,-0.0023314399,-0.0053258385,-0.0046864385,-0.008457076,-0.0071651414,-0.002775654,-0.0053069266,-0.0020182992,-0.004317989,-0.0064806035,-0.0070548397,-0.004643145,-0.0037944957,-0.002131355,-0.003085184,0.0007108675,-2.8750557e-05,-0.0031418311,-0.0032344237,0.004519244,-0.0038281481,0.0010673511,-0.0026689367,-0.009398818
0.6,-0.0031241465,-0.0046193805,-0.0036995162,-0.0075352183,-0.00638986,-0.004400234,-0.005652605,-0.004478659,-0.004765848,-0.0015676614,-0.002990498,-0.003615971,-0.0073722177,-0.0019325493,-0.0025052095,-0.0061390256,-0.0049740616,-0.0030296487,-0.00829637,-0.0036434212,-0.0043373797,-0.0045420905,0.0005136552,0.0028055902,-0.0025238828,0.0032678503,-0.005306569,-0.005832638,-0.0020813912,0.0033179857,-0.0016277288
0.7,0.0005067907,-0.0033035544,-0.00050054723,-0.0014005705,-0.0034458335,-0.00012653365,-0.0037993635,-0.007994174,-0.0023641672,-0.0022984243,-0.0014513636,-0.0057664607,-0.0042834016,-0.0050549647,0.000107068365,-0.0046263607,-0.0046896148,-0.0037283958,-0.007783943,0.00018364671,-0.0008979056,-0.006719748,0.0014142079,-0.0034608706,-0.0071049924,-0.008735166,-0.0034187466,-0.006398271,-0.0045613796,-0.0036812527,-0.0058063692
0.8,0.0065009235,0.0056566535,0.002823056,0.0025487717,0.004492865,0.002807018,0.001986321,0.0029928817,0.002761509,0.00349796,0.0077497424,0.005640309,0.0024606606,0.0058678715,0.01112551,0.0032131851,0.0015811356,0.00059812807,0.00048102578,-0.0018338577,0.0007394567,-2.9997518e-05,0.0027817471,0.007513717,-0.0027694039,0.0036948062,8.98785e-05,0.005144323,-0.006749701,-0.0022834432,0.007216613
0.9,0.014639607,0.011052363,0.0067633144,0.0064289477,0.012786471,0.007801332,0.005882628,0.005715254,0.015153271,0.01623982,0.015293089,0.02184149,0.011921005,0.014090944,0.01644295,0.015407735,0.011721517,0.011722927,0.010008417,0.0015035456,0.013262711,0.009049623,-0.0069470913,0.011720406,0.0033431642,0.015355427,-0.0034649004,0.01241245,-0.0021019746,0.0030195531,0.028567996
