roi,bp0.2-0.5_pre,bp0.5-1.0_pre,bp1.0-2.0_pre,bp2.0-5.0_pre,domfreq_pre,bp0.2-0.5_stim,bp0.5-1.0_stim,bp1.0-2.0_stim,bp2.0-5.0_stim,domfreq_stim,bp0.2-0.5_post,bp0.5-1.0_post,bp1.0-2.0_post,bp2.0-5.0_post,domfreq_post
1,0.37869806788488614,0.14235626457835682,0.2884871980152916,0.19045846952146558,0.2500000000000004,0.4380870841414432,0.1411057272228921,0.3488750035058278,0.07193218512983693,0.4000000000000006,0.6536552063701063,0.21215054494147673,0.08976685054734158,0.0444273981410753,0.46666666666666734
2,0.5535247821409469,0.15291421043272824,0.1327313673568551,0.16082964006946973,0.2500000000000004,0.3921005778970938,0.2397308916480683,0.2699551257313817,0.09821340472345626,0.2000000000000003,0.473784807000658,0.2503213108088777,0.21198643339849788,0.0639074487919664,0.46666666666666734
3,0.6008806497157024,0.0621142170348028,0.11929665040741531,0.21770848284207947,0.2500000000000004,0.4106495142615905,0.39865512596024255,0.14542440814598112,0.045270951632185745,0.6000000000000009,0.4988423815908188,0.27745989771566937,0.15810981410069688,0.06558790659281497,0.46666666666666734
4,0.5276221686133098,0.29604963929642103,0.07750542553940054,0.09882276655086839,0.2500000000000004,0.5003908992638105,0.4147907623428243,0.06586939589176288,0.01894894250160241,0.4000000000000006,0.3918398748348521,0.2326599994366867,0.29228445130981767,0.08321567441864355,0.46666666666666734
5,0.5307849638105168,0.26400068413978955,0.09819262749228762,0.1070217245574061,0.2500000000000004,0.9050776971610525,0.051192471700963096,0.027504985942852552,0.016224845195131767,0.2000000000000003,0.3770436826821072,0.3832623328797021,0.10214184049672818,0.13755214394146245,0.5333333333333341
6,0.43081965432082425,0.3664869058840997,0.06483676637472226,0.13785667342035374,0.5000000000000008,0.5985966048635163,0.09884019256585846,0.19708010649089566,0.10548309607972971,0.2000000000000003,0.6705114880612236,0.08475741763707581,0.14936060977408575,0.09537048452761487,0.2000000000000003
7,0.5953311019184264,0.11507077080829918,0.08731034769392865,0.20228777957934577,0.2500000000000004,0.43405342438837174,0.46203845893066015,0.07998662499852893,0.02392149168243922,0.6000000000000009,0.6356065790604231,0.09047502741294565,0.1894749719374191,0.08444342158921227,0.3333333333333338
8,0.42895131876128234,0.22421154098892843,0.2218049144305031,0.12503222581928622,0.2500000000000004,0.38200894113208045,0.07080412592815265,0.2912971419988235,0.2558897909409432,0.4000000000000006,0.6505392091333336,0.11087489348800052,0.14380551385102577,0.09478038352763994,0.3333333333333338
9,0.3296345959277533,0.2324621701969169,0.2796429254227078,0.15826030845262215,0.37500000000000056,0.4600786181918801,0.3441817893922967,0.1520802802271212,0.04365931218870205,0.4000000000000006,0.3829065021177863,0.24022850930709505,0.2668416465300562,0.11002334204506233,0.2000000000000003
10,0.2879627120498446,0.08901055654960098,0.4886078064889125,0.13441892491164195,0.2500000000000004,0.03917386512158733,0.03648517669922931,0.6555838933341135,0.26875706484507,1.8000000000000025,0.23234751488385616,0.25409071467735933,0.39019400674267946,0.12336776369610514,0.9333333333333347
11,0.4083575724321377,0.2484127354877624,0.25111040332906664,0.09211928875103344,0.37500000000000056,0.526150161965317,0.19199319155081546,0.18382590618431613,0.09803074029955133,0.4000000000000006,0.5802957194465828,0.07875880105495968,0.16620910631233243,0.1747363731861252,0.2000000000000003
12,0.36210855659558083,0.2964182171145698,0.20775210993209245,0.13372111635775688,0.37500000000000056,0.35200111319588767,0.07227175323343822,0.3083296229803351,0.267397510590339,0.4000000000000006,0.34301101382760635,0.09518819320018942,0.3631915694291646,0.19860922354303964,0.46666666666666734
13,0.4838968477936163,0.12379071271041245,0.30925352068623113,0.08305891880973999,0.2500000000000004,0.5990234761081715,0.13773528396054388,0.19464876102236273,0.06859247890892177,0.4000000000000006,0.2932987177216598,0.15494961864176493,0.3182072557687398,0.23354440786783556,0.3333333333333338
