roi,rate_mean_pre,rate_peak_pre,rate_active_frac_pre,rate_mean_stim,rate_peak_stim,rate_active_frac_stim,rate_mean_post,rate_peak_post,rate_active_frac_post,dff_mean_pre,dff_peak_pre,dff_mean_stim,dff_peak_stim,dff_mean_post,dff_peak_post,rate_group
1,0.025819945669354638,0.03036989422980696,0.0,0.02342035908877733,0.041373261192347854,0.06,0.03742942786616436,0.04755629663122818,0.7985074626865671,-0.0038418777,0.0077424585,-0.0024999566,0.02248855,0.10095263,0.12381615,1
2,0.025808614205743652,0.03037357033463195,0.0,0.022952952481864485,0.038534806517418474,0.04,0.03118162797485937,0.05053358094301075,0.15671641791044777,-0.0051870146,0.006801666,0.0039226185,0.035101745,0.13605352,0.16673835,1
3,0.02686483874094847,0.033059060224331915,0.0,0.026127953557443108,0.039215400465764105,0.08,0.03966845019522564,0.04554477985948324,0.9701492537313433,0.0015594785,0.015384289,0.021197466,0.04343788,0.076636076,0.0890066,1
4,0.0265878470527241,0.038501514645759016,0.025,0.03175440601899027,0.0697428738931194,0.42,0.0311394526660981,0.03736100276000798,0.13432835820895522,0.00013614868,0.02291073,0.052829705,0.10211912,0.13643454,0.15863256,1
5,0.025821177470788825,0.030643563659396023,0.0,0.03187263503568829,0.05457067338284105,0.44,0.03861682322384519,0.045447729062289,0.9477611940298507,-0.003175452,0.012711975,0.04386566,0.1065509,0.0898513,0.12521018,1
6,0.0258563450188376,0.03149451338686049,0.0,0.02556419609054501,0.032497506763320416,0.0,0.031777895742324626,0.037122322610230185,0.1865671641791045,-0.0039376994,0.009095174,-0.0040420224,0.022029553,0.04378328,0.06227186,1
7,0.026272334052919177,0.030009564361535013,0.0,0.02792016292332846,0.05312353401677683,0.36,0.029563449356353532,0.03454088895523455,0.007462686567164179,-0.003067549,0.004558075,0.03328508,0.094540805,0.033735417,0.043459103,1
8,0.026113264248124324,0.03065037017222494,0.0,0.025985448693973012,0.03698679749504663,0.02,0.03102939287427036,0.035650495901791146,0.06716417910447761,-0.003103837,0.006774309,0.0039895093,0.03262643,0.036917906,0.050107542,1
9,0.0251885817378934,0.03547137835994363,0.0125,0.02364517121750396,0.033087124465964735,0.0,0.028534237615992844,0.03421231638640165,0.007462686567164179,-0.0056007407,0.014159155,-0.019579178,0.007024036,0.018376844,0.039046206,1
10,0.025699979823912145,0.03459204046521336,0.025,0.023134673975073385,0.03411718018469401,0.02,0.026234392355389047,0.03177723701810464,0.0,-0.0054795067,0.022568336,-0.016216243,0.013489733,0.00083803287,0.027325962,1
11,0.026029571465187473,0.03280306176748127,0.0,0.024074296772096205,0.046638656422146596,0.14,0.027946892703278253,0.033129218936664984,0.0,-0.004024376,0.006911127,0.0027474004,0.039741825,0.014882254,0.028907748,1
12,0.024679071219679827,0.03376987820956856,0.0,0.02345209408085793,0.03151764452923089,0.0,0.027869228350624976,0.033072952064685524,0.0,-0.0072301305,0.026230646,-0.018941805,0.0029351728,0.01365282,0.041026022,1
13,0.026112225772521924,0.031268980528693646,0.0,0.02478329971709172,0.03587127779610455,0.06,0.028216722897000248,0.032706801721360534,0.0,-0.0040662726,0.008587116,0.0033396883,0.027867,0.015318396,0.029776402,1
14,0.025862048143608263,0.03071972751058638,0.0,0.03089623843670779,0.05053439672337845,0.5,0.028662001292798833,0.033611863382247975,0.0,-0.0031712234,0.008768475,0.03597584,0.08030014,0.030511254,0.053176004,1
15,0.025598983571399003,0.03182661428581923,0.0,0.023935657757101582,0.03440649510594085,0.02,0.02762532737397666,0.03225618973374367,0.0,-0.004307398,0.02272634,-0.006641758,0.01588002,0.011221724,0.03227506,1
16,0.026035186096123653,0.03150784672470763,0.0,0.02403397750313161,0.030762955429963768,0.0,0.0265000232396762,0.030445019656326622,0.0,-0.0032931878,0.014915504,-0.009875422,0.009166006,0.00039020984,0.013704173,1
17,0.02559711233735129,0.03421363013330847,0.0125,0.023293096983252326,0.03479263687040657,0.04,0.026761309233747786,0.03308987244963646,0.0,-0.003690529,0.014886538,-0.0175194,0.019948939,-0.020263553,0.004751838,1
18,0.02554260200849967,0.03460532403551042,0.025,0.023318622272927313,0.031938016472849995,0.0,0.027736213576020814,0.03322098491480574,0.0,-0.0011770313,0.0172293,-0.016727796,0.0028489188,0.008399614,0.019565089,1
