time_s,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,0.007758940646453993,0.009810607243707636,0.009578029794283793,0.010156850421481067,0.00924624052913714,0.009168322139885277,0.010297830281160714,0.01109124254071503,0.007691736573178787,0.010200555552728474,0.01087393884517951,0.005492921081895474,0.010725493470999936,0.011313851255181362,0.01117348212574143,0.009914036036207108,0.00965204395015462,0.011043961362702248,0.012408400925778551,0.013284842789289542,0.010204027548752492,0.008600155997555703,0.015058512653922662,0.0060230000235605985,0.012532691835076548,0.008039618842303753,0.012007783079752699,0.011960084884776734,0.009246627687389264,0.011056195126002422,0.012613724043148977
1.7,0.015115137339307694,0.013098816671117675,0.012291456628190645,0.01087213593564229,0.012404198523654486,0.007604326256114291,0.01341451243206393,0.012792746593959237,0.0142299490289588,0.013023073952354025,0.013662005949299783,0.01007210759780719,0.013300607824930921,0.013863394997315481,0.012518580151663627,0.015381093398900703,0.01313936292717699,0.016312475272570737,0.012854288452217588,0.011031086687580682,0.013685475053080154,0.011815647849289235,0.011587108601815999,0.006741802380929585,0.0105629665813467,0.010816539813731652,0.010450745967318653,0.013424019616650185,0.009708862082788983,0.010546978010097519,0.017799730630940758
1.8,0.011691163454088382,0.013329516295925714,0.013611475892503222,0.011935959455513512,0.012710760529444087,0.009000073309834988,0.014359588585648453,0.01142589270557437,0.015416245078085922,0.014330069425341208,0.010992343595717102,0.012606288419192424,0.013058046861260664,0.014736662851646543,0.013632963527925313,0.01216311289681471,0.01166443049442023,0.013877267992938869,0.012162561442892184,0.011411379082346684,0.015114288180484436,0.011366422277205857,0.011811252115876414,0.006621430638915626,0.008954416007327382,0.013286898847582052,0.00959732666160562,0.013440872571663931,0.010785456142912153,0.007838453238946386,0.015025566681288183
1.9,0.012135456272517331,0.012725035558105446,0.013882170783290348,0.009332115969300503,0.011683936390909366,0.012439842603271245,0.012902672260679537,0.010613541235215962,0.012544686833280139,0.010785753693198785,0.010816063149832189,0.010709728230722249,0.010455961455591023,0.013973916866234504,0.010384048509877175,0.011908780197700253,0.010059918131446466,0.009966130455723032,0.00876153542776592,0.011476571780804079,0.011675934481445438,0.011492575376905734,0.010066161776194349,0.009597669604772818,0.009886677398753818,0.014298941096058115,0.010961558044186859,0.01364855037536472,0.011970843479502946,0.008869643152138451,0.007367785059386733
2.0,0.01105652281694347,0.013407404876488727,0.014589767342840787,0.010527382619329728,0.011037166405003518,0.012459139652492013,0.012911166195408441,0.013077328894723905,0.011554832890396938,0.008939038307289593,0.011175970548720215,0.012170489353593439,0.00817109184936271,0.013412009066087194,0.008542234936612658,0.011292885392322205,0.011757801239582477,0.01061532925859865,0.009807224560063332,0.011976416444667848,0.01153651908680331,0.012056003688485362,0.008570964710088447,0.007200281252153218,0.007596249897687812,0.011123191070510074,0.009872774462564848,0.008476148559566354,0.007573600050818641,0.011841262894449756,0.009535978697385872
